member_id	pd_cost	spm_cost	mpm_cost	% ser	serial-full	serial-reduced
temple	6144.056737345154	2867.28049272307	879.4026755121	0.003977578125261858	1116.8927255155722	1115.102832942468
tufts	6144.056737345154	1324.1802325416365	471.56250254275346	0.0019064080684020198	560.6842362294349	559.7857036064204
ua	6144.056737345154	2165.601912792138	641.3021827201836	0.0029798837608349792	971.9912919297088	970.4336132423992
ualberta	6144.056737345154	5948.994079273007	1404.5240208316561	0.007806689657313866	2021.8456179309821	2018.6054800262186
ubc	6144.056737345154	1794.4797430162798	529.0078934482311	0.0024666760390820238	423.4612242105502	422.7826003079172
ucdavis	6144.056737345154	3865.6958177580927	1468.9863694667438	0.005663439960183397	1469.5699572812382	1467.214876715215
uci	6144.056737345154	3778.7392454928354	1382.4564777352703	0.005479262133226263	1321.078947002626	1318.9618328503846
ucla	6144.056737345154	18906.276441870243	8604.070471955896	0.029205713210691108	4770.312015865754	4762.667283427693
ucmerced	6144.056737345154	129.3211050740305	21.82718565936483	0.0001604630303381278	4.66205504901058	4.654583805338747
uconn	6144.056737345154	2566.125091900605	1011.4406597846361	0.003798038594838566	1220.9231568160947	1218.9665487723746
ucr	6144.056737345154	2823.094082038178	935.9751763257416	0.0039907275267301555	1016.7680707182656	1015.1386343572156
ucsb	6144.056737345154	3080.8933314420287	1183.6842071284643	0.004527388511180443	1491.5944956150743	1489.2041193069542
ucsc	6144.056737345154	3620.633073234695	2273.2464976939136	0.006257098719477819	907.4363745012793	905.9821492295243
ucsd	6144.056737345154	12015.20127528393	4395.354394472943	0.01742188072074521	1549.5188419466972	1547.0356381405254
ucsf	6144.056737345154	2307.385761524717	587.1466580170226	0.0030729123114655228	521.6413275913623	520.8053637456416
udel	6144.056737345154	2483.4326450870535	450.14911437688266	0.0031143681253964365	962.899599939576	961.3564912746134
ufl	6144.056737345154	4903.254460806525	1893.0510685442298	0.007215138028037547	2405.8877980527886	2402.0322078039853
uh	6144.056737345154	2639.9001722540024	855.5165264543065	0.003710826983538661	1170.8126461302572	1168.9363434093875
uic	6144.056737345154	2886.874743346393	758.8077555631127	0.0038703531385449264	1131.7801679312784	1129.966417272251
uiuc	6144.056737345154	14192.955935520336	3692.1931593188574	0.018987348172327244	2980.4134899640503	2975.6371852674642
umass	6144.056737345154	3890.816030648754	1331.3195247281265	0.0055439574737255965	1297.4845193568694	1295.4052167955235
umd	6144.056737345154	4328.161856602217	1479.1850499429722	0.006165233350158577	1659.5488544457155	1656.8893204534018
unc	6144.056737345154	8615.00598555082	2824.185785727121	0.012144149082545175	2668.388296299957	2664.112032085329
unl	6144.056737345154	3422.904104458424	1618.5957620292002	0.005352189840193361	1897.988735401888	1894.94708613359
uom	6144.056737345154	68991.71542417334	24131.57048830317	0.09886214776266956	33382.91253556161	33329.41426679243
upenn	6144.056737345154	9502.079102705455	3794.0188862815653	0.014115489924717705	2640.4045722258506	2636.173153732518
uq	6144.056737345154	1485.855079676869	521.3902011248688	0.00213094477500558	796.3580728899708	795.0818577552188
usu	6144.056737345154	1281.1948331478395	228.34213904150252	0.0016025644470713544	319.8752004645365	319.8752004645365
utah	6144.056737345154	3270.2618602370117	700.3523119756724	0.004215309212464634	653.1091728515792	652.0625233111108
utk	6144.056737345154	2842.4515188854007	922.9932460205644	0.003997495933403584	1328.674823582605	1326.545536548613
uva	6144.056737345154	6802.50045886311	2482.333393241299	0.009857025632679069	2674.0953133025337	2669.8099032253554
uvm	6144.056737345154	1588.7887712032966	494.85233622084587	0.002212048608767352	811.3881518307463	810.0878500258476
vanderbilt	6144.056737345154	2641.756863030036	1162.7537809597318	0.004038969305746688	1520.0467499589558	1517.610777079586
vt	6144.056737345154	2290.751339760064	849.860856371794	0.003334157122538041	1136.2130467642673	1134.3921921312242
washington	6144.056737345154	11729.525172232426	4500.473274900328	0.01723019638907913	4413.11362115389	4406.041322163739
wfu	6144.056737345154	1627.7227783863148	478.82123110186996	0.0022363629364445066	559.9577237973981	559.0603554573773
wisc	6144.056737345154	35135.40316169184	10500.131198872468	0.04844789245756235	4852.5487875982835	4844.772265433596
wustl	6144.056737345154	3787.8073403731064	2090.344606937959	0.00624040185751899	1602.2968926100557	1599.7291085763068
yale	6144.056737345154	16634.372009668903	5103.685911193837	0.023077698270501778	5120.876104444353	5112.669570461508
